id,name,category,description,price,image_url,stock,rating_avg
1,Wireless Noise-Cancelling Headphones,Electronics,"Premium over-ear headphones with active noise cancellation, 30-hour battery life, Bluetooth 5.0, and foldable design. Perfect for travel and work-from-home setups.",199.99,https://picsum.photos/seed/11/400/300,95,4.7
2,Mechanical Keyboard RGB,Electronics,"Full-size mechanical keyboard with Cherry MX switches, per-key RGB lighting, aluminum frame, and USB-C detachable cable. Ideal for gamers and typists.",129.99,https://picsum.photos/seed/12/400/300,173,5.0
3,Python Crash Course,Books,"A hands-on, project-based introduction to programming in Python. Covers variables, lists, classes, and more through fun practical projects.",29.99,https://picsum.photos/seed/13/400/300,51,4.6
4,The Pragmatic Programmer,Books,"Classic software engineering book covering best practices, design patterns, and professional development tips for modern developers.",39.99,https://picsum.photos/seed/14/400/300,151,4.6
5,Men's Running Shoes,Sports,"Lightweight breathable running shoes with responsive foam midsole, durable rubber outsole, and reflective details for night runs.",89.99,https://picsum.photos/seed/15/400/300,153,3.5
6,Yoga Mat Premium,Sports,"6mm thick non-slip yoga mat made from eco-friendly TPE material. Includes carry strap and alignment lines. Great for yoga, pilates and stretching.",49.99,https://picsum.photos/seed/16/400/300,29,4.9
7,Stainless Steel Water Bottle,Home & Kitchen,"Insulated double-wall water bottle that keeps drinks cold 24 hours, hot 12 hours. BPA-free, leak-proof lid, fits most cup holders.",24.99,https://picsum.photos/seed/17/400/300,186,4.9
8,Air Fryer 5.8 Qt,Home & Kitchen,"Digital air fryer with 8 preset cooking functions, rapid air circulation technology, non-stick basket, and dishwasher-safe parts.",89.99,https://picsum.photos/seed/18/400/300,149,3.6
9,Vitamin C Serum,Beauty,"20% Vitamin C brightening serum with hyaluronic acid and vitamin E. Reduces dark spots, boosts collagen, and provides antioxidant protection.",34.99,https://picsum.photos/seed/19/400/300,104,4.4
10,LEGO Architecture Set,Toys,Build iconic world landmarks with this 744-piece LEGO Architecture set. Includes detailed instructions and historical information about each structure.,59.99,https://picsum.photos/seed/20/400/300,47,4.1
11,Smart Watch Fitness Tracker,Electronics,"Advanced smartwatch with heart rate monitor, GPS, sleep tracking, SpO2 sensor, and 7-day battery. Water resistant to 50 meters.",249.99,https://picsum.photos/seed/21/400/300,20,4.0
12,Wireless Earbuds True,Electronics,"True wireless earbuds with active noise cancellation, 8-hour playtime (32 with case), IPX5 water resistance, and transparency mode.",149.99,https://picsum.photos/seed/22/400/300,20,4.8
13,Clean Code,Books,"A handbook of agile software craftsmanship by Robert C. Martin. Learn to write clean, readable, and maintainable code with practical examples.",44.99,https://picsum.photos/seed/23/400/300,63,4.5
14,Atomic Habits,Books,James Clear's guide to building good habits and breaking bad ones. Uses scientific research and real-life stories to explain the 1% rule.,19.99,https://picsum.photos/seed/24/400/300,180,3.7
15,Resistance Bands Set,Sports,"Set of 5 resistance bands with different tension levels (10-50 lbs). Made from natural latex, includes carrying bag and exercise guide.",19.99,https://picsum.photos/seed/25/400/300,153,4.8
16,Dumbbell Set Adjustable,Sports,Adjustable dumbbell set ranging from 5 to 52.5 lbs per dumbbell. Space-saving design with quick-adjust dial mechanism.,299.99,https://picsum.photos/seed/26/400/300,114,5.0
17,"Cast Iron Skillet 12""",Home & Kitchen,"Pre-seasoned cast iron skillet for use on stovetop, oven, and grill. Even heat distribution, naturally non-stick when properly maintained.",39.99,https://picsum.photos/seed/27/400/300,49,4.9
18,Instant Pot Duo 7-in-1,Home & Kitchen,"Multi-use programmable pressure cooker that replaces 7 kitchen appliances. 6-quart capacity, 14 smart programs, and safety features.",79.99,https://picsum.photos/seed/28/400/300,70,4.8
19,Retinol Eye Cream,Beauty,"Retinol and peptide eye cream that reduces fine lines, dark circles, and puffiness. Fragrance-free, dermatologist tested, suitable for sensitive skin.",28.99,https://picsum.photos/seed/29/400/300,55,4.8
20,Skincare Set Complete,Beauty,"Complete skincare routine set with cleanser, toner, serum, moisturizer, and SPF 50 sunscreen. Suitable for all skin types.",79.99,https://picsum.photos/seed/30/400/300,16,3.8
21,Remote Control Car,Toys,"High-speed remote control car with 2.4GHz technology, shock-absorbing suspension, and 30+ mph top speed. Includes rechargeable batteries.",44.99,https://picsum.photos/seed/31/400/300,95,4.7
22,Board Game Strategy,Toys,"Award-winning strategy board game for 2-4 players. Features resource management, territory control, and multiple paths to victory.",54.99,https://picsum.photos/seed/32/400/300,115,4.7
23,4K Webcam Streaming,Electronics,"4K ultra HD webcam with autofocus, built-in noise-cancelling microphone, privacy cover, and plug-and-play USB-C setup.",99.99,https://picsum.photos/seed/33/400/300,198,4.7
24,Monitor Stand Ergonomic,Electronics,"Adjustable monitor stand with full motion arm, cable management, USB hub, and 17.6 lb weight capacity. Fits screens up to 32"".",69.99,https://picsum.photos/seed/34/400/300,78,3.7
25,The Design of Everyday Things,Books,"Don Norman's classic book on user-centered design and human psychology. Essential reading for designers, engineers and product managers.",24.99,https://picsum.photos/seed/35/400/300,189,3.7
26,Deep Work,Books,Cal Newport's guide to focused success in a distracted world. Provides strategies to maximize cognitive performance and professional value.,17.99,https://picsum.photos/seed/36/400/300,19,4.8
27,Tennis Racket Pro,Sports,Graphite tennis racket with open string pattern for maximum spin and power. Includes protective cover and vibration dampener.,79.99,https://picsum.photos/seed/37/400/300,66,3.8
28,Cycling Gloves Padded,Sports,"Half-finger cycling gloves with gel padding, moisture-wicking fabric, touchscreen-compatible fingertips, and reflective details.",24.99,https://picsum.photos/seed/38/400/300,127,4.0
29,Bamboo Cutting Board Set,Home & Kitchen,"Set of 3 organic bamboo cutting boards in different sizes. Knife-friendly, antimicrobial, and easy to clean. Juice grooves on larger board.",34.99,https://picsum.photos/seed/39/400/300,68,3.8
30,Coffee Grinder Burr,Home & Kitchen,"Conical burr coffee grinder with 40 grind settings, 8-oz bean hopper, and removable grinding bowl. Consistent grind for any brewing method.",49.99,https://picsum.photos/seed/40/400/300,178,3.8
31,Hyaluronic Acid Moisturizer,Beauty,"Oil-free moisturizer with triple-weight hyaluronic acid for plumping hydration. Fragrance-free, non-comedogenic, and fast-absorbing.",22.99,https://picsum.photos/seed/41/400/300,94,3.9
32,Natural Lip Balm Set,Beauty,"Set of 8 tinted and clear organic lip balms with SPF 15. Made with beeswax, shea butter, and natural flavors. Zero plastic packaging.",18.99,https://picsum.photos/seed/42/400/300,27,5.0
33,Puzzle 1000 Piece,Toys,1000-piece jigsaw puzzle featuring a vibrant world map design. Made from recycled materials with a smooth finish for easy handling.,22.99,https://picsum.photos/seed/43/400/300,81,4.0
34,Science Kit Kids,Toys,"STEM science kit with 30+ experiments covering chemistry, physics, and biology. Includes safe materials, goggles, and instruction booklet.",39.99,https://picsum.photos/seed/44/400/300,140,4.1
35,Portable SSD 1TB,Electronics,"Compact solid-state drive with 1050MB/s read speeds, USB 3.2 Gen 2 interface, hardware encryption, and shock-resistant casing.",89.99,https://picsum.photos/seed/45/400/300,147,4.0
36,Smart LED Bulbs 4-Pack,Electronics,"16 million color WiFi smart bulbs compatible with Alexa and Google Home. Schedule, dim, and change colors from your smartphone app.",39.99,https://picsum.photos/seed/46/400/300,17,3.7
37,System Design Interview,Books,"Comprehensive guide to ace system design interviews at top tech companies. Covers distributed systems, scalability, and architecture patterns.",34.99,https://picsum.photos/seed/47/400/300,76,3.8
38,The Staff Engineer's Path,Books,"Tanya Reilly's guide to technical leadership beyond the individual contributor track. Covers scope, influence, and career growth.",39.99,https://picsum.photos/seed/48/400/300,77,3.6
39,Foam Roller Muscle,Sports,"High-density foam roller for muscle recovery and myofascial release. 18-inch length, 6-inch diameter, supports up to 500 lbs.",29.99,https://picsum.photos/seed/49/400/300,162,4.2
40,Protein Powder Whey,Sports,"Whey protein isolate powder, 25g protein per serving, 5.5g BCAAs, low sugar, multiple flavors. NSF Certified for Sport.",59.99,https://picsum.photos/seed/50/400/300,196,4.7
41,Dutch Oven 5.5 Qt,Home & Kitchen,"Enameled cast iron Dutch oven perfect for braising, soups, stews, and bread baking. Oven safe to 500°F, dishwasher safe.",89.99,https://picsum.photos/seed/51/400/300,121,4.4
42,Stand Mixer 5 Qt,Home & Kitchen,"Tilt-head stand mixer with 10-speed settings and 5-quart stainless steel bowl. Includes flat beater, dough hook, and wire whip.",249.99,https://picsum.photos/seed/52/400/300,140,3.7
43,Face Wash Gentle,Beauty,Gentle foaming face wash with ceramides and niacinamide. Removes makeup and impurities without stripping skin's natural moisture barrier.,16.99,https://picsum.photos/seed/53/400/300,157,3.8
44,Sheet Mask Set 20,Beauty,"Set of 20 Korean sheet masks in assorted varieties: brightening, hydrating, anti-aging, and soothing. Made with natural botanical extracts.",29.99,https://picsum.photos/seed/54/400/300,21,4.6
45,LEGO Technic Set,Toys,"Advanced LEGO Technic building set with 1,226 pieces. Features working mechanisms including steering and pistons. For ages 11+.",79.99,https://picsum.photos/seed/55/400/300,10,4.3
46,Card Game Exploding,Toys,Highly strategic card game for 2-5 players. Each game lasts 15 minutes. Perfect for parties and family game nights.,19.99,https://picsum.photos/seed/56/400/300,147,4.5
